1,P. Buono,2008,Explore! possibilities and challenges of mobile learning
8,A. Simeone,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting,team_8
8,A. Aris,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting,team_8
8,Galit Shmueli,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting,team_8
8,W. Jank,2007,Similarity-Based Forecasting with Simultaneous Previews: A River Plot Interface for Time Series Forecasting,team_8
9,P. Buono,2009,Comparing low cost input devices for interacting with 3D Virtual Environments
9,Carmelo Ardito,2009,Comparing low cost input devices for interacting with 3D Virtual Environments,team_9
9,Paolo Buono,2009,Comparing low cost input devices for interacting with 3D Virtual Environments,team_9
9,Maria Francesca Costabile,2009,Comparing low cost input devices for interacting with 3D Virtual Environments,team_9
9,Rosa Lanzilotti,2009,Comparing low cost input devices for interacting with 3D Virtual Environments,team_9
9,Adalberto L. Simeone,2009,Comparing low cost input devices for interacting with 3D Virtual Environments,team_9
10,P. Buono,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices
10,Carmelo Ardito,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices,team_10
10,Paolo Buono,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices,team_10
10,Maria Francesca Costabile,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices,team_10
10,Rosa Lanzilotti,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices,team_10
10,Antonio Piccinno,2009,Enabling Interactive Exploration of Cultural Heritage: An Experience of Designing Systems for Mobile Devices,team_10
11,P. Buono,2005,Visualizing Association Rules in a Framework for Visual Data Mining
11,M. Costabile,2005,Visualizing Association Rules in a Framework for Visual Data Mining,team_11
12,P. Buono,2008,A Simulation of a Fire Accident in Second Life
12,Paolo Buono,2008,A Simulation of a Fire Accident in Second Life,team_12
12,Tiziana Cortese,2008,A Simulation of a Fire Accident in Second Life,team_12
12,Fabrizio Lionetti,2008,A Simulation of a Fire Accident in Second Life,team_12
12,Marco Minoia,2008,A Simulation of a Fire Accident in Second Life,team_12
12,Adalberto Lafcadio Simeone,2008,A Simulation of a Fire Accident in Second Life,team_12
13,P. Buono,2018,From smart objects to smart experiences: An end-user development approach
13,C. Ardito,2018,From smart objects to smart experiences: An end-user development approach,team_13
13,G. Desolda,2018,From smart objects to smart experiences: An end-user development approach,team_13
13,M. Matera,2018,From smart objects to smart experiences: An end-user development approach,team_13
14,P. Buono,2001,Integrating User Data and Collaborative Filtering in a Web Recommendation System
14,M. Costabile,2001,Integrating User Data and Collaborative Filtering in a Web Recommendation System,team_14
14,Stefano Guida,2001,Integrating User Data and Collaborative Filtering in a Web Recommendation System,team_14
14,A. Piccinno,2001,Integrating User Data and Collaborative Filtering in a Web Recommendation System,team_14
15,P. Buono,2007,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game
15,C. Ardito,2007,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game,team_15
15,M. Costabile,2007,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game,team_15
15,R. Lanzilotti,2007,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game,team_15
15,Thomas Pederson,2007,Re-experiencing History in Archaeological Parks by Playing a Mobile Augmented Reality Game,team_15
16,P. Buono,2014,Human-Centered Design in Industry: Lessons from the Trenches
16,C. Ardito,2014,Human-Centered Design in Industry: Lessons from the Trenches,team_16
16,D. Caivano,2014,Human-Centered Design in Industry: Lessons from the Trenches,team_16
16,M. Costabile,2014,Human-Centered Design in Industry: Lessons from the Trenches,team_16
16,R. Lanzilotti,2014,Human-Centered Design in Industry: Lessons from the Trenches,team_16
16,Y. Dittrich,2014,Human-Centered Design in Industry: Lessons from the Trenches,team_16
17,P. Buono,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin
17,C. Vreim,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Wu,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Crystal,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,A. Buist,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Burrows,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,Cohen Ab,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Fallat,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Gadek,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Rousell,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Schwartz,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,G. Turino,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Schluchter,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Stoller,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,H. Wiedemann,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,G. W. Williams,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. M. Barrett,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,G. Beck,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,V. Midcalf,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Moore,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,P. Sartori,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,S. G. Sherer,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Zhang,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,T. Petty,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Tomashefski,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Brantly,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Hildesheim,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Rundquist,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Sandhaus,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,C. W. Bell,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Berend,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Begle,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Erb,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Seidman,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,S. Sherman,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Cameron,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,S. Weinberger,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Rosenberg,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Johnston,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,A. Arroliga,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Meeker,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,A. Mehta,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Laskowski,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Ryan,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Loftin,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,K. Johnson,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,A. Kotch,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,T. Clark,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,P. Epstein,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Sandblom,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. C. Hert,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Demaine,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,L. Colar,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Eichenhorn,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. P. McMahan,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,W. M. Breite,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Webb-Johnson,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Corbett,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. McManus,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Krowka,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,T. Zeiger,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,U. Prakash,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,T. Staats,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,C. Strange,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Baumann,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,M. Judson,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Oser,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,N. Soskel,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,V. Smith,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Killian,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,W. Demicco,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,L. Golden,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. Hitchcock,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Moss,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,S. C. Chu,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,N. G. McElvaney,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,P. Barnes,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,K. O'Neil,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,D. Holden,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,B. Meth,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. W. Ashburn,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Forrester,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. F. Sarlin,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,R. S. Sen,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,T. Walsh,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,S. Jones,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
17,J. Drake,1998,Survival and FEV1 decline in individuals with severe deficiency of α1-antitrypsin,team_17
18,P. Buono,2012,Are Software Companies Aware of UX?
18,Carmelo Ardito,2012,Are Software Companies Aware of UX?,team_18
18,Paolo Buono,2012,Are Software Companies Aware of UX?,team_18
18,Maria Francesca Costabile,2012,Are Software Companies Aware of UX?,team_18
18,Rosa Lanzilotti,2012,Are Software Companies Aware of UX?,team_18
19,P. Buono,1995,A statistical analysis of wind in Terra Nova Bay Antarctica for the austral summers 1988 and 1989
19,S. Argentini,1995,A statistical analysis of wind in Terra Nova Bay Antarctica for the austral summers 1988 and 1989,team_19
19,A. D. Vedova,1995,A statistical analysis of wind in Terra Nova Bay Antarctica for the austral summers 1988 and 1989,team_19
19,G. Mastrantonio,1995,A statistical analysis of wind in Terra Nova Bay Antarctica for the austral summers 1988 and 1989,team_19
20,P. Buono,2006,Two different interfaces to visualize patient histories on a PDA
20,C. Ardito,2006,Two different interfaces to visualize patient histories on a PDA,team_20
20,M. Costabile,2006,Two different interfaces to visualize patient histories on a PDA,team_20
20,R. Lanzilotti,2006,Two different interfaces to visualize patient histories on a PDA,team_20
21,P. Buono,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices
21,Carmelo Ardito,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
21,Paolo Buono,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
21,Maria Francesca Costabile,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
21,Rosa Lanzilotti,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
21,Antonio Piccinno,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
21,Adalberto Lafcadio Simeone,2009,Exploring Archaeological Parks by Playing Games on Mobile Devices,team_21
22,P. Buono,2014,Industry: Lessons from the Trenches
22,Carmelo Ardito,2014,Industry: Lessons from the Trenches,team_22
22,Paolo Buono,2014,Industry: Lessons from the Trenches,team_22
22,Maria Francesca Costabile,2014,Industry: Lessons from the Trenches,team_22
22,Rosa Lanzilotti,2014,Industry: Lessons from the Trenches,team_22
22,Aldo Del Moro,2014,Industry: Lessons from the Trenches,team_22
22,Yvonne Dittrich,2014,Industry: Lessons from the Trenches,team_22
23,P. Buono,2020,Towards the Detection of UX Smells: The Support of Visualizations
23,D. Caivano,2020,Towards the Detection of UX Smells: The Support of Visualizations,team_23
23,M. Costabile,2020,Towards the Detection of UX Smells: The Support of Visualizations,team_23
23,G. Desolda,2020,Towards the Detection of UX Smells: The Support of Visualizations,team_23
23,R. Lanzilotti,2020,Towards the Detection of UX Smells: The Support of Visualizations,team_23
24,P. Buono,2008,Interactive shape specification for pattern search in time series
24,A. Simeone,2008,Interactive shape specification for pattern search in time series,team_24
25,P. Buono,2018,Digital interaction: where are we going?
25,T. Catarci,2018,Digital interaction: where are we going?,team_25
25,M. Amendola,2018,Digital interaction: where are we going?,team_25
25,F. Bertacchini,2018,Digital interaction: where are we going?,team_25
25,E. Bilotta,2018,Digital interaction: where are we going?,team_25
25,Marco Bracalenti,2018,Digital interaction: where are we going?,team_25
25,A. Cocco,2018,Digital interaction: where are we going?,team_25
25,M. Costabile,2018,Digital interaction: where are we going?,team_25
25,G. Desolda,2018,Digital interaction: where are we going?,team_25
25,F. D. Nocera,2018,Digital interaction: where are we going?,team_25
25,S. Federici,2018,Digital interaction: where are we going?,team_25
25,G. Gaudino,2018,Digital interaction: where are we going?,team_25
25,R. Lanzilotti,2018,Digital interaction: where are we going?,team_25
25,A. Marrella,2018,Digital interaction: where are we going?,team_25
25,Maria Laura Mele,2018,Digital interaction: where are we going?,team_25
25,P. Pantano,2018,Digital interaction: where are we going?,team_25
25,I. Poggi,2018,Digital interaction: where are we going?,team_25
25,L. Tarantino,2018,Digital interaction: where are we going?,team_25
26,P. Buono,2014,Integration of UCD and Agile Development: Action Research Can Help
26,Carmelo Ardito,2014,Integration of UCD and Agile Development: Action Research Can Help,team_26
26,Paolo Buono,2014,Integration of UCD and Agile Development: Action Research Can Help,team_26
26,Danilo Caivano,2014,Integration of UCD and Agile Development: Action Research Can Help,team_26
26,Maria Francesca Costabile,2014,Integration of UCD and Agile Development: Action Research Can Help,team_26
26,Rosa Lanzilotti,2014,Integration of UCD and Agile Development: Action Research Can Help,team_26
27,P. Buono,2008,Discovering the terrorist
27,Adalberto Lafcadio Simeone,2008,Discovering the terrorist,team_27
27,Paolo Buono,2008,Discovering the terrorist,team_27
28,P. Buono,2016,A Meta-design Approach to Support Information Access and Manipulation in Virtual Research Environments
28,C. Ardito,2016,A Meta-design Approach to Support Information Access and Manipulation in Virtual Research Environments,team_28
28,M. Costabile,2016,A Meta-design Approach to Support Information Access and Manipulation in Virtual Research Environments,team_28
28,G. Desolda,2016,A Meta-design Approach to Support Information Access and Manipulation in Virtual Research Environments,team_28
28,M. Matera,2016,A Meta-design Approach to Support Information Access and Manipulation in Virtual Research Environments,team_28
29,P. Buono,2001,Supporting Data Analysis Through Visualizations
29,M. Costabile,2001,Supporting Data Analysis Through Visualizations,team_29
29,F. Lisi,2001,Supporting Data Analysis Through Visualizations,team_29
30,P. Buono,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality
30,Michele Fiorentino,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Paolo Buono,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Antonio E. Uva,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Vito M. Manghisi,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Michele Gattullo,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Antonio Boccaccio,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
30,Giuseppe Monno,2017,ARSAS: Invecchiamento attivo del lavoratore mediante la spatial augmented reality,team_30
31,P. Buono,2007,Analysing Multidimensional Data with a Visualization Tool
31,Paolo Buono,2007,Analysing Multidimensional Data with a Visualization Tool,team_31
31,Maria Francesca Costabile,2007,Analysing Multidimensional Data with a Visualization Tool,team_31
32,P. Buono,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”
32,Magda Brattoli,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Paolo Buono,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Maurizio Caselli,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Lucia D'accolti,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Gianluigi de Gennaro,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Marina Musti,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
32,Maria Luisa Tutino,2009,“VOC and ODOR: Evaluation of the volatile organic compounds emissions and of the olfac-tory impacts produced by new materials and by new technologies for productive system”,team_32
33,P. Buono,2018,An End-User Development Approach for Crafting Smart Interactive Experiences
33,C. Ardito,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
33,M. Costabile,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
33,G. Desolda,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
33,R. Lanzilotti,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
33,M. Matera,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
33,A. Piccinno,2018,An End-User Development Approach for Crafting Smart Interactive Experiences,team_33
34,P. Buono,2018,A Visual Analytic Approach to Analyze Highway Vehicular Traffic
34,Paolo Buono,2018,A Visual Analytic Approach to Analyze Highway Vehicular Traffic,team_34
34,Alessandra Legretto,2018,A Visual Analytic Approach to Analyze Highway Vehicular Traffic,team_34
34,Stefano Ferilli,2018,A Visual Analytic Approach to Analyze Highway Vehicular Traffic,team_34
34,Sergio Angelastro,2018,A Visual Analytic Approach to Analyze Highway Vehicular Traffic,team_34
35,P. Buono,2017,Empowering CH Experts to Produce IoT-enhanced Visits
35,C. Ardito,2017,Empowering CH Experts to Produce IoT-enhanced Visits,team_35
35,G. Desolda,2017,Empowering CH Experts to Produce IoT-enhanced Visits,team_35
35,M. Matera,2017,Empowering CH Experts to Produce IoT-enhanced Visits,team_35
36,P. Buono,2011,Towards a Framework for Evaluating Multitouch Public Displays
36,Carmelo Ardito,2011,Towards a Framework for Evaluating Multitouch Public Displays,team_36
36,Paolo Buono,2011,Towards a Framework for Evaluating Multitouch Public Displays,team_36
36,Maria Francesca Costabile,2011,Towards a Framework for Evaluating Multitouch Public Displays,team_36
36,Antonella De Angeli,2011,Towards a Framework for Evaluating Multitouch Public Displays,team_36
37,P. Buono,2001,Web recommendation systems: the case of on-line trade fairs
37,Paolo Buono,2001,Web recommendation systems: the case of on-line trade fairs,team_37
37,Maria Francesca Costabile,2001,Web recommendation systems: the case of on-line trade fairs,team_37
37,Antonio Piccinno,2001,Web recommendation systems: the case of on-line trade fairs,team_37
37,Teresa Roselli,2001,Web recommendation systems: the case of on-line trade fairs,team_37
38,P. Buono,2018,EUDroid: a formal language specifying the behaviour of IoT devices
38,Paolo Buono,2018,EUDroid: a formal language specifying the behaviour of IoT devices,team_38
38,Fabio Cassano,2018,EUDroid: a formal language specifying the behaviour of IoT devices,team_38
38,Alessandra Legretto,2018,EUDroid: a formal language specifying the behaviour of IoT devices,team_38
38,Antonio Piccinno,2018,EUDroid: a formal language specifying the behaviour of IoT devices,team_38
39,P. Buono,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION
39,Gianluigi de Gennaro,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION,team_39
39,E. Andriani,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION,team_39
39,Magda Brattoli,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION,team_39
39,Paolo Buono,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION,team_39
39,Lucrezia de Gennaro,2013,DEVELOPMENT OF A TOOL FOR INDUSTRIAL ATMOSPHERIC EMISSION MANAGEMENT IN THE APULIA REGION,team_39
40,P. Buono,2019,MonitorApp: a web tool to analyze and visualize pollution data detected by an electronic nose
40,Paolo Buono,2019,MonitorApp: a web tool to analyze and visualize pollution data detected by an electronic nose,team_40
40,Fabrizio Balducci,2019,MonitorApp: a web tool to analyze and visualize pollution data detected by an electronic nose,team_40
41,P. Buono,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks
41,C. Ardito,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks,team_41
41,M. Costabile,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks,team_41
41,R. Lanzilotti,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks,team_41
41,Thomas Pederson,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks,team_41
41,A. Piccinno,2008,Experiencing the Past through the Senses: An M-Learning Game at Archaeological Parks,team_41
42,P. Buono,2009,A tool for Wizard of Oz studies of multimodal mobile systems
